Profile;h;b;t-s;t-g;A;g;I-y;W-y;i-y;I-z;W-z;i-z;A-q;r;S-f;W-yv;A-qv;gHandel;Knick;S-y;Itor;Iw/1000;Typ;MIP-Typ;Sec-Typ;ey;S 460 Knick
HEM500;524;306;21;40;344;270;161900;6180;21.7;19150;1250;7.46;129.2;27;3150;8303.384615;107.9333333;277;a/b;3550;1540;11190;3;1;H;0;a0
HEM550;572;306;21;40;354;278;198000;6920;23.6;19160;1250;7.35;139.2;27;3460;9037.077626;120.1734104;285;a/b;3970;1550;13520;3;1;H;0;a0
HEM600;620;305;21;40;364;285;237400;7660;25.6;18970;1240;7.22;150;27;3770;9772.016461;132.2387268;292;a/b;4390;1560;15910;3;1;H;0;a0
HEM650;668;305;21;40;374;293;281700;8430;27.5;18980;1240;7.13;160;27;4080;10545.39326;144.9926471;300;a/b;4930;1580;18650;3;1;H;0;a0
HEM700;716;304;21;40;383;301;329300;9200;29.3;18800;1240;7.01;169.8;27;4380;11318.21306;157.8835616;309;a/b;5270;1590;21400;3;1;H;0;a0
HEM800;814;303;21;40;404;317;442600;10870;33.1;18630;1230;6.79;194;30;5050;13127.8635;184.0514851;325;a/b;6240;1650;27780;3;1;H;0;a0
IPE200;200;100;5.8;8.5;28.5;22.4;1940;194;8.26;142;28.5;2.24;14.033;12;89.37746183;244.0251572;12.58930358;23;a/b;110;7.02;13;4;1;H;0;a0
IPE220;220;110;5.9;9.2;33.4;26.2;2770;252;9.11;205;37.3;2.48;15.9108;12;115.6959966;312.1621622;14.12581289;27;a/b;143;9.1;22.7;4;1;H;0;a0
IPE240;240;120;6.2;9.8;39.1;30.7;3890;324;9.97;284;47.3;2.69;19.1276;15;155;408.4033613;15.56;31.5;a/b;183;12.9;37.39;4;1;H;0;a0
IPE270;270;135;6.6;10.2;45.9;36.1;5790;429;11.2;420;62.2;3.02;22.0932;15;202;527.4590164;18.91782178;37;a/b;242;15.9;70.58;4;1;H;0;a0
IPE300;300;150;7.1;10.7;53.8;42.2;8360;557;12.5;604;80.5;3.35;25.6697;15;259;672.1641191;22.91737452;43;a/b;314;20.1;125.9;4;1;H;0;a0
IPE330;330;160;7.5;11.5;62.6;49.1;11770;713;13.7;788;98.5;3.55;30.8025;18;333;868.2287823;26.50900901;50.4;a/b;402;28.1;199.1;4;1;H;0;a0
