Profile;h;b;t-s;t-g;A;g;I-y;W-y;i-y;I-z;W-z;i-z;A-q;r;S-f;W-yv;A-qv;gHandel;Knick;S-y;Itor;Iw/1000;Typ;MIP-Typ;Sec-Typ;ey;S 460 Knick
CHANNELS229x89;228.6;88.9;8.6;13.3;41.73;32.76;3387;296.4;9.01;285;44.82;2.61;20.8426;19;147.0335741;413.1526829;19.8105774;34;c/c;1742;22;22.4;10;3;U;2.37;c
CHANNELS229x76;228.6;76.2;7.6;11.2;33.2;26.06;2610;228.3;8.87;158.7;28.22;2.19;18.6412;17.5;109.7795151;304.8445093;18.06894481;27;c/c;135.15;12.8;13;10;3;U;1.87;c
CHANNELS203x89;203.2;88.9;8.1;12.9;37.94;29.78;2491;245.2;8.1;264.4;42.34;2.64;17.5638;17.5;123.8909645;349.8921348;16.28617557;31;c/c;1428;18.8;16.1;10;3;U;2.48;c
CHANNELS203x76;203.2;76.2;7.1;11.2;30.34;23.82;1950;192;8.02;151.3;27.59;2.23;15.6812;17;95.34188292;265.7656676;14.52142498;24;c/c;112.6;11.5;9.55;10;3;U;2;c
Channel254x76x28;254;76.2;8.1;10.9;35.9;28.2;3355;264;9.67;162;28.1;2.12;21.3184;12.2;;;;29;c/c;158;;;11;3;U;0;c
Channel254x89x36;254;88.9;9.1;13.6;45.4;35.7;4445;350;9.89;302;46.7;2.58;23.4992;13.7;;;;37;c/c;207;;;11;3;U;0;c
Channel305x89x42;304.8;88.9;10.2;13.7;53.3;47.8;7078;464;11.5;326;48.6;2.47;31.3314;13.7;;;;49;c/c;279.5;;;11;3;U;0;c
Channel305x102x46;304.8;101.6;10.2;14.8;58.9;46.2;8208;539;11.8;499;66.5;2.91;31.3664;15.2;;;;47;c/c;319;;;11;3;U;0;c
Channel381x102x55;381;101.6;10.4;16.3;70.1;55;14870;781;14.6;579;75.7;2.87;39.5384;15.2;;;;56;c/c;465.5;;;11;3;U;0;c
Channel432x102x65;431.8;101.6;12.2;16.8;83.4;65.5;21370;990;16;627;79.9;2.74;52.0024;15.2;;;;67;c/c;602.5;;;11;3;U;0;c
UB457x152x52;449.8;152.4;7.6;10.8;66.6;52.3;21370;950;17.9;645;84.6;3.11;36.7056;10.2;381.638279;1047.842079;42.55652772;54;a/b;548;;;12;3;H;0;a0
UB457x152x60;454.6;152.9;8.1;13.3;76.2;59.8;25500;1122;18.3;795;104;3.23;39.3191;10.2;470.0954548;1251.37684;43.93788493;61;a/b;643.5;;;12;3;H;0;a0
UB457x152x67;458;153.8;9;15;85.6;76.2;28930;1263;18.4;913;119;3.27;43.87;10.2;534.2596183;1419.170756;48.73473328;78;a/b;726.5;;;12;3;H;0;a0
UB457x152x74;462;154.4;9.6;17;94.5;74.2;32670;1414;18.6;1047;136;3.33;47.104;10.2;608.5243743;1602.718351;51.53975966;76;a/b;813.5;;;12;3;H;0;a0
UB457x152x82;456.8;155.3;10.5;18.9;105;82.1;36590;1571;18.7;1185;153;3.37;52.1367;10.2;668.4503075;1800.383342;57.47547659;84;a/b;905.5;;;12;3;H;0;a0
I №10;100;55;4.5;7.2;12;9.46;198;39.7;4.06;17.9;6.49;1.22;4.176;;18.3744;46.37850467;4.849137931;10;a/b;23;;;13;4;H;0;a0
I №12;120;64;4.8;7.3;14.7;11.5;350;58.4;4.88;27.9;8.72;1.38;5.4096;;26.32672;66.48956357;6.381349443;12;a/b;33.7;;;13;4;H;0;a0
I №14;140;73;4.9;7.5;17.4;13.7;572;81.7;5.73;41.9;11.5;1.55;6.4925;;36.271875;91.504;7.727199104;14;a/b;46.8;;;13;4;H;0;a0
I №16;160;81;5;7.8;20.2;15.9;873;109;6.57;58.6;14.5;1.7;7.61;;48.07998;120.7756233;9.078622745;16;a/b;62.3;;;13;4;H;0;a0
I №18;180;90;5.1;8.1;23.4;18.4;1290;143;7.42;82.6;18.4;1.88;8.7669;;62.65755;157.1428571;10.49993177;19;a/b;81.4;;;13;4;H;0;a0
I №20;200;100;5.2;8.4;26.8;21;1840;184;8.28;115;23.1;2.07;9.9632;;80.472;200.8733624;11.88984989;22;a/b;104;;;13;4;H;0;a0
I №24М;240;110;8;14;48.7;38.3;4640;387;9.8;276;50.2;2.4;18.08;;174.02;438.1132075;21.33088151;39;a/b;223;;;13;4;H;0;a0
I №27са;270;124;10;14;59.9;47;6870;507;10.7;366;59;2.5;25.6;;222.208;565.661157;30.91697869;48;a/b;297;;;13;4;H;0;a0
I №30;300;135;6.5;10.2;46.5;36.5;7080;472;12.3;337;49.9;2.69;18.837;;199.5273;506.4377682;23.06451298;37;a/b;268;;;13;4;H;0;a0
I №36;360;145;7.5;12.3;61.9;48.6;13380;743;14.7;516;71.1;2.89;26.0775;;310.061475;797.4955277;32.36454964;50;a/b;423;;;13;4;H;0;a0
I №36М;360;130;9;16;73.8;57.9;15340;852;14.4;518;79.7;2.7;30.96;;357.76;935.1219512;38.59011628;59;a/b;493;;;13;4;H;0;a0
I №45;450;160;9;14.2;84.7;66.5;27696;1231;18.1;808;101;3.09;39.222;;495.0688;1313.92315;50.34936558;68;a/b;708;;;13;4;H;0;a0
I №45М;450;150;10;18;98.8;77.6;31900;1420;18;821;119;3;43.2;;583.2;1543.478261;54.69821674;80;a/b;821;;;13;4;H;0;a0
U №20У;200;76;5.2;9;23.4;18.4;1520;152;8.07;113;20.5;2.2;11.19;9.5;90;175;18;26;c/c;114;5.04;7.11;14;4;U;2.07;c
U №8У;80;40;4.5;7.4;8.98;7.05;89.4;22.4;3.16;12.8;4.75;1.19;4.16;6.5;10.7448;27.48466258;3.744136699;7;c/c;23.3;1.33;0.144;14;4;U;1.31;c
U №10У;100;46;4.5;7.6;10.9;8.59;174;34.8;3.99;20.4;6.46;1.37;5.058;7;16.15152;41.03773585;4.847840946;9;c/c;26.4;1.69;0.296;14;4;U;1.44;c
U №12П;120;52;4.8;7.8;13.3;10.4;305;50.8;4.79;34.9;9.84;1.62;6.418;7.5;22.75416;58.3908046;6.433988334;11;c/c;29.7;2.17;0.666;14;4;U;1.54;c
U №14П;140;58;4.9;8.1;15.6;12.3;493;70.4;5.61;51.5;12.9;1.81;7.494;8;30.98331;79.61227787;7.79677833;13;c/c;40.9;2.74;1.34;14;4;U;1.67;c
W360*79;354;205;9.4;16.8;101;79;22600;1280;15;2420;236;4.89;41.4272;23;648;1651.311953;32.78395062;79;a/b;736;79;689;3;1;H;0;a0
W360*79;354;205;9.4;16.8;101;79;22600;1280;15;2420;236;4.89;41.4272;23;648;1651.311953;32.78395062;79;a/b;736;79;689;3;1;H;0;a0
W610*101;603;228;10.5;14.9;133;101;76400;2530;24.3;2950;259;4.77;74.0705;25;1146;2915.883028;70;101;a/b;1505;78;2550;3;1;H;0;a0
W610*455;689;340;32;57.9;579;455;445000;12900;27.7;38100;2240;8.11;245.496;36;6676;17733.63927;213.3013781;455;b/c;7681;4880;37900;3;1;H;0;a
W610*372;669;335;26.4;48;474;372;35300;10600;27.3;30200;1800;7.98;196.752;33;5358;13986.98225;17.39305711;372;b/c;6206;2713;49900;3;1;H;0;a
W610*551;711;347;38.6;69.1;702;551;558000;15700;28.2;48400;2790;8.3;303.0166;39;8278;22560.02425;260.1932834;551;b/c;9459;8122;29154;3;1;H;0;a
W410*114;420;261;11.6;19.3;146;114;46200;2200;17.8;5720;439;6.26;55.5988;21;1267;2722.451385;42.29834254;114;a/b;1455;225;2738;3;1;H;0;a0
W410*100;431;265;10;16.9;127;100;39800;1920;17.7;4950;381;6.25;45.88;20;943;2316.68533;42.20572641;100;a/b;1088;100;1965;3;1;H;0;a0
W360*79;354;205;9.4;16.8;101;79;22600;1280;15;2420;236;4.89;41.4272;23;648;1651.311953;32.78395062;79;a/b;736;79;689;3;1;H;0;a0
HEB900;900;300;18.5;35;371;291;494100;10980;36.5;15820;1050;6.53;188.475;30;4920;12833.76623;185.7896341;298;a/b;6290;1140;29460;1;1;H;0;a0
HEB1000;1000;300;19;36;400;314;644700;12890;40.1;16280;1090;6.38;212.44;30;5640;14850.23041;217.1861702;322;a/b;7430;1250;37640;1;1;H;0;a0
HEM900;910;302;21;40;424;333;570400;12540;36.7;18450;1220;6.6;214.8;30;5660;14820;211.6325088;341;a/b;7220;1670;34750;3;1;H;0;a0
HEM1000;1008;302;21;40;444;349;722300;14330;40.3;18460;1220;6.45;234.8;30;6310;16641.29032;240.385103;358;a/b;8280;1700;43020;3;1;H;0;a0
W530*196;554;316;16.5;26.3;254;196;134000;4840;23.1;13900;877;7.44;105.2735;25;2357;5940.097475;93.80568519;196;a/b;2777;470;9640;3;1;H;0;a0
W530*182;551;315;15.2;24.4;231;182;124000;4480;23.1;12700;808;7.42;92.7008;24;2172;5434.786438;86.7771639;182;a/b;2564;374;8820;3;1;H;0;a0
W460*177;482;286;16.6;26.9;226;177;91000;3780;20.1;10500;735;6.82;90.5854;26;1898;4843.062201;79.5890411;177;a/b;2191;440;5440;3;1;H;0;a0
W460*158;476;284;15;23.9;201;158;79600;3350;19.9;9140;643;6.74;81.261;26;1673;4238.702818;71.36879857;158;a/b;1938;311;4670;3;1;H;0;a0
W410*149;431;265;14.9;25;190;149;61900;2870;18;7770;586;6.39;72.725;23;1448;3692.447761;63.69544199;149;a/b;1657;322;3200;3;1;H;0;a0
W360*147;360;370;12.3;19.8;188;147;46300;2570;15.7;16700;904;9.43;54.2114;26;1338;3447.09389;42.56278027;147;b/c;1449;223;4840;3;1;H;0;a
W360*134;356;369;11.2;18;171;134;41500;2330;15.8;15100;818;9.4;49.536;26;1210;3095.074627;38.41322314;134;b/c;1310;168;4310;3;1;H;0;a
W360*122;363;257;13;21.7;155;122;36500;2010;15.4;6150;478;6.3;56.699;24;1036;2686.413844;45.8011583;122;a/b;1156;211;1970;3;1;H;0;a0
W360*101;357;255;10.5;18.3;129;101;30100;1690;15.3;5060;397;6.23;46.0095;23;861;2198.72449;36.70731707;101;a/b;960;125;1450;3;1;H;0;a0
W310*86;310;254;9.1;16.3;110;86;19800;1280;13.4;3990;351;6.36;35.1993;20;654;1671.440607;27.55045872;86;a/b;718;87.4;961;3;1;H;0;a0
W250*80;256;255;9.4;15.6;102;80;12600;982;11.1;4310;338;6.5;30.4584;21;519;1375.229759;22.82080925;80;b/c;558;75.7;623;3;1;H;0;a
W250*73;253;254;8.6;14.2;92.8;73;11300;891;11;3880;306;6.46;27.5652;20;467;1221.143012;20.80942184;73;b/c;503;57.5;553;3;1;H;0;a
W250*58;252;203;8;13.5;74.2;58;87830;693;10.8;1880;186;5.04;25.87;20;362;943.9783784;194.0994475;58;a/b;396;40.9;268;3;1;H;0;a0
W200*52;206;204;7.9;12.6;66.2;52;5250;509;8.9;1780;178;5.19;19.3154;14;265;686.2172775;15.6509434;52;b/c;288;31.4;167;3;1;H;0;a
W530*219;560;318;18.3;29.2;283;222;153364;5477;23.3;15702;988;7.44;117.8156;26;2648;6821.886121;105.9879607;222;a/b;3111;633;11059;3;1;H;0;a0
W530*248;571;315;19;34.5;319;250;179744;6296;23.8;18028;1145;7.52;126.145;26;3104;7988.924444;110.0237113;250;a/b;3585;954;12972;3;1;H;0;a0
W530*272;577;318;21.1;37.6;351;276;199717;6923;23.8;20225;1272;7.59;140.1016;27;3436;8920.435462;122.643443;276;a/b;3965;1249;14711;3;1;H;0;a0
U200;200;75;8.5;11.5;32.2;25.3;1910;191;7.7;148;27;2.14;16.95;11.5;89.8;248.0519481;18.07906459;26;c/c;114;11.9;9.07;5;2;U;2.01;c
W360*79;354;205;9.4;16.8;101;79;22600;1280;15;2420;236;4.89;41.4272;23;648;1651.311953;32.78395062;79;a/b;736;79;689;3;1;H;0;a0
U №30У;300;100;5.2;11;40.5;31.08;5823;388;12;342;46.1;2.91;20.22;12;249;477;32;48;c/c;316;13.4;48.2;14;4;U;2.38;c
U180;180;70;8;11;28;22;1350;150;6.96;114;22.4;2.02;14.5;11;71.9;198.5294118;15.02086231;22.5;c/c;89.6;9.55;5.57;5;2;U;1.92;c
HEA140;133;140;5.5;8.5;31.4;24.7;1030;155;5.73;389;55.6;3.52;10.1075;12;80.9;173.5;23.8;25;b/c;86.7;8.13;15.06;2;1;H;0;a
